id,text,nested,type,module,complexity
41,"A student shall be able to create a recurring weekly seat reservation for the same room and time slot for up to 4 consecutive weeks, provided all occurrences satisfy booking limits and opening hours.",False,Functional,Booking Core,Conditional
42,"If a student checks in after the reservation start time, the system shall keep the original end time and shall not extend the reservation duration.",True,Functional,Booking Core,Conditional
43,"The system shall display the building, floor, and a link to the room floor plan before a student confirms a booking.",False,Functional,Booking Core,Simple
44,"Administrative staff shall be able to define a cleaning buffer time between bookings for each room (e.g., 10 minutes), and the system shall prevent bookings that violate the buffer.",False,Functional,Admin & Reporting,Simple
45,"When occupancy sensors are available for a room, the system shall automatically record check-in if occupancy is detected within the allowed check-in window.",True,Functional,Search & Discovery,Nested/Conditional
46,The system shall achieve at least 99.5% monthly uptime excluding scheduled maintenance windows announced in advance.,False,Non-functional,Admin & Maintenance,Simple
47,"All public API endpoints shall enforce rate limiting of 60 requests per minute per user; if the limit is exceeded, the system shall return an HTTP 429 error and a retry-after time.",True,Non-functional,Concurrency,Conditional
48,"Unauthenticated users shall be able to view room availability and room features, but the system shall hide personal booking details and user identifiers.",False,Functional,Security & Identity,Simple
49,"Staff actions that change system state (e.g., creating rooms, blocking rooms, marking issues critical) shall require role-based access control and shall be recorded in an immutable audit log.",False,Non-functional,Admin & Reporting,Simple
50,"If a student reports that a booked room is occupied by others at the start time, the system shall create a priority ticket for staff and offer alternative rooms of similar capacity when available.",True,Functional,Waitlist,Nested/Conditional
